year,event_date,gender,discipline_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance
2003,2003-12-31,men,110 m hurdles,3,bronze,athlete,Liu Xiang,China,CHN,13.23
2003,2003-12-31,men,1500 m,1,gold,athlete,Hicham El Guerrouj,Morocco,MAR,3:31.77
2003,2003-12-31,men,1500 m,2,silver,athlete,Mehdi Baala,France,FRA,3:32.31
2003,2003-12-31,men,1500 m,3,bronze,athlete,Ivan Heshko,Ukraine,UKR,3:33.17
2003,2003-12-31,men,20 km race walk,1,gold,athlete,Jefferson Pérez,Ecuador,ECU,1:17:21 (WBP)
2003,2003-12-31,men,20 km race walk,2,silver,athlete,Paquillo Fernández,Spain,ESP,1:18:00 (SB)
2003,2003-12-31,men,200 m,1,gold,athlete,John Capel,United States,USA,20.30
2003,2003-12-31,men,200 m,2,silver,athlete,Darvis Patton,United States,USA,20.31
2003,2003-12-31,men,200 m,3,bronze,athlete,Shingo Suetsugu,Japan,JPN,20.38
2003,2003-12-31,men,3000 m steeplechase,1,gold,athlete,Saif Saaeed Shaheen,Qatar,QAT,8:04.39
2003,2003-12-31,men,3000 m steeplechase,2,silver,athlete,Ezekiel Kemboi,Kenya,KEN,8:05.11
2003,2003-12-31,men,3000 m steeplechase,3,bronze,athlete,Eliseo Martin,Spain,ESP,8:09.09 (PB)
2003,2003-12-31,men,4 × 100 m relay,1,gold,team,,United States,USA,38.06
2003,2003-12-31,men,4 × 100 m relay,2,silver,team,,Brazil,BRA,38.26 (SB)
2003,2003-12-31,men,4 × 100 m relay,3,bronze,team,,Netherlands,NLD,38.87
2003,2003-12-31,men,4 × 400 m relay,1,gold,team,,France,FRA,2:58.96 2 (NR)
2003,2003-12-31,men,4 × 400 m relay,2,silver,team,,Jamaica,JAM,2:59.60 (SB)
2003,2003-12-31,men,4 × 400 m relay,3,bronze,team,,Bahamas,BHS,3:00.53 (SB)
2003,2003-12-31,men,400 m,1,gold,athlete,Tyree Washington,United States,USA,44.77 1
2003,2003-12-31,men,400 m,2,silver,athlete,Marc Raquil,France,FRA,44.79 (NR)
2003,2003-12-31,men,400 m,3,bronze,athlete,Michael Blackwood,Jamaica,JAM,44.80
2003,2003-12-31,men,400 m hurdles,1,gold,athlete,Félix Sánchez,Dominican Republic,DOM,47.25 (WL)
2003,2003-12-31,men,400 m hurdles,2,silver,athlete,Joey Woody,United States,USA,48.18 (SB)
2003,2003-12-31,men,400 m hurdles,3,bronze,athlete,Periklís Iakovákis,Greece,GRC,48.24
2003,2003-12-31,men,50 km race walk,1,gold,athlete,Robert Korzeniowski,Poland,POL,3:36:03 (WBP)
2003,2003-12-31,men,50 km race walk,3,bronze,athlete,Andreas Erm,Germany,DEU,3:37:46 (NR)
2003,2003-12-31,men,5000 m,1,gold,athlete,Eliud Kipchoge,Kenya,KEN,12:52.79 (CR)
2003,2003-12-31,men,5000 m,2,silver,athlete,Hicham El Guerrouj,Morocco,MAR,12:52.83
2003,2003-12-31,men,5000 m,3,bronze,athlete,Kenenisa Bekele,Ethiopia,ETH,12:53.12
2003,2003-12-31,men,800 m,1,gold,athlete,Djabir Saïd-Guerni,Algeria,DZA,1:44.81
2003,2003-12-31,men,800 m,3,bronze,athlete,Mbulaeni Mulaudzi,South Africa,ZAF,1:44.90
2003,2003-12-31,men,Decathlon,1,gold,athlete,Tom Pappas,United States,USA,8750
2003,2003-12-31,men,Decathlon,2,silver,athlete,Roman Šebrle,Czech Republic,CZE,8634
2003,2003-12-31,men,Decathlon,3,bronze,athlete,Dmitry Karpov,Kazakhstan,KAZ,8374 (NR)
2003,2003-12-31,men,Discus,1,gold,athlete,Virgilijus Alekna,Lithuania,LTU,69.69 (SB)
2003,2003-12-31,men,Discus,2,silver,athlete,Róbert Fazekas,Hungary,HUN,69.01
2003,2003-12-31,men,Discus,3,bronze,athlete,Vasiliy Kaptyukh,Belarus,BLR,66.51 (SB)
2003,2003-12-31,men,Hammer,1,gold,athlete,Ivan Tikhon,Belarus,BLR,83.05
2003,2003-12-31,men,Hammer,2,silver,athlete,Adrián Annus,Hungary,HUN,80.36
2003,2003-12-31,men,Hammer,3,bronze,athlete,Koji Murofushi,Japan,JPN,80.12
2003,2003-12-31,men,High jump,1,gold,athlete,Jacques Freitag,South Africa,ZAF,2.35 (SB)
2003,2003-12-31,men,High jump,2,silver,athlete,Stefan Holm,Sweden,SWE,2.32
2003,2003-12-31,men,High jump,3,bronze,athlete,Mark Boswell,Canada,CAN,2.32 (SB)
2003,2003-12-31,men,Javelin,2,silver,athlete,Andrus Värnik,Estonia,EST,85.17
2003,2003-12-31,men,Javelin,3,bronze,athlete,Boris Henry,Germany,DEU,84.74
2003,2003-12-31,men,Long jump,1,gold,athlete,Dwight Phillips,United States,USA,8.32
2003,2003-12-31,men,Long jump,2,silver,athlete,James Beckford,Jamaica,JAM,8.28 (SB)
2003,2003-12-31,men,Long jump,3,bronze,athlete,Yago Lamela,Spain,ESP,8.22
2003,2003-12-31,men,Marathon,1,gold,athlete,Jaouad Gharib,Morocco,MAR,2:08:31 (CR)
2003,2003-12-31,men,Marathon,2,silver,athlete,Julio Rey,Spain,ESP,2:08:38
2003,2003-12-31,men,Marathon,3,bronze,athlete,Stefano Baldini,Italy,ITA,2:09:14
2003,2003-12-31,men,Pole vault,1,gold,athlete,Giuseppe Gibilisco,Italy,ITA,5.90 (NR)
2003,2003-12-31,men,Pole vault,2,silver,athlete,Okkert Brits,South Africa,ZAF,5.85 (SB)
2003,2003-12-31,men,Pole vault,3,bronze,athlete,Patrik Kristiansson,Sweden,SWE,5.85 (PB)
2003,2003-12-31,men,Shot put,1,gold,athlete,Andrei Mikhnevich,Belarus,BLR,21.69 (PB)
2003,2003-12-31,men,Shot put,2,silver,athlete,Adam Nelson,United States,USA,21.26
2003,2003-12-31,men,Shot put,3,bronze,athlete,Yuriy Bilonoh,Ukraine,UKR,21.10
2003,2003-12-31,men,Triple jump,1,gold,athlete,Christian Olsson,Sweden,SWE,17.72
2003,2003-12-31,men,Triple jump,2,silver,athlete,Yoandri Betanzos,Cuba,CUB,17.28 (SB)
2003,2003-12-31,men,Triple jump,3,bronze,athlete,Leevan Sands,Bahamas,BHS,17.26
2003,2003-12-31,women,"10,000 m",1,gold,athlete,Berhane Adere,Ethiopia,ETH,30:04.18 (CR)
2003,2003-12-31,women,"10,000 m",2,silver,athlete,Werknesh Kidane,Ethiopia,ETH,30:07.15 (PB)
2003,2003-12-31,women,"10,000 m",3,bronze,athlete,Sun Yingjie,China,CHN,30:07.20 (PB)
2003,2003-12-31,women,100 m,1,gold,athlete,Torri Edwards,United States,USA,10.93 (PB)
2003,2003-12-31,women,100 m,2,silver,athlete,Chandra Sturrup,Bahamas,BHS,11.02
2003,2003-12-31,women,100 m,3,bronze,athlete,Ekaterini Thanou,Greece,GRC,11.03 (SB)
2003,2003-12-31,women,100 m hurdles,1,gold,athlete,Perdita Felicien,Canada,CAN,12.53 (NR)
2003,2003-12-31,women,100 m hurdles,2,silver,athlete,Brigitte Foster,Jamaica,JAM,12.57
2003,2003-12-31,women,100 m hurdles,3,bronze,athlete,Miesha McKelvy,United States,USA,12.67
2003,2003-12-31,women,1500 m,3,bronze,athlete,Hayley Tullett,Great Britain,GBR,3:59.95 (PB)
2003,2003-12-31,women,20 km walk,2,silver,athlete,Gillian O'Sullivan,Ireland,IRL,1:27:34
2003,2003-12-31,women,20 km walk,3,bronze,athlete,Valentina Tsybulskaya,Belarus,BLR,1:28:10 (NR)
2003,2003-12-31,women,200 m,2,silver,athlete,Torri Edwards,United States,USA,22.47
2003,2003-12-31,women,200 m,3,bronze,athlete,Muriel Hurtis,France,FRA,22.59
2003,2003-12-31,women,4 × 100 m relay,1,gold,team,,France,FRA,41.78 (WL)
2003,2003-12-31,women,4 × 100 m relay,2,silver,team,,United States,USA,41.83 (SB)
2003,2003-12-31,women,4 × 400 m relay,1,gold,team,,United States,USA,3:22.63 (WL)
2003,2003-12-31,women,4 × 400 m relay,3,bronze,team,,Jamaica,JAM,3:22.92 (SB)
2003,2003-12-31,women,400 m,1,gold,athlete,Ana Guevara,Mexico,MEX,48.89 (PB)
2003,2003-12-31,women,400 m,2,silver,athlete,Lorraine Fenton,Jamaica,JAM,49.43 (SB)
2003,2003-12-31,women,400 m,3,bronze,athlete,Amy Mbacké Thiam,Senegal,SEN,49.95 (SB)
2003,2003-12-31,women,400 m hurdles,1,gold,athlete,Jana Pittman,Australia,AUS,53.22 (PB)
2003,2003-12-31,women,400 m hurdles,2,silver,athlete,Sandra Glover,United States,USA,53.65 (SB)
2003,2003-12-31,women,5000 m,1,gold,athlete,Tirunesh Dibaba,Ethiopia,ETH,14:51.72
2003,2003-12-31,women,5000 m,2,silver,athlete,Marta Domínguez,Spain,ESP,14:52.26
2003,2003-12-31,women,5000 m,3,bronze,athlete,Edith Masai,Kenya,KEN,14:52.30
2003,2003-12-31,women,800 m,1,gold,athlete,Maria Mutola,Mozambique,MOZ,1:59.89
2003,2003-12-31,women,800 m,2,silver,athlete,Kelly Holmes,Great Britain,GBR,2:00.18
2003,2003-12-31,women,Discus throw,1,gold,athlete,Irina Yatchenko,Belarus,BLR,67.32 (SB)
2003,2003-12-31,women,Discus throw,2,silver,athlete,Anastasia Kelesidou,Greece,GRC,67.14 (SB)
2003,2003-12-31,women,Discus throw,3,bronze,athlete,Ekaterini Voggoli,Greece,GRC,66.73 (PB)
2003,2003-12-31,women,Hammer throw,1,gold,athlete,Yipsi Moreno,Cuba,CUB,73.33
2003,2003-12-31,women,Hammer throw,3,bronze,athlete,Manuela Montebrun,France,FRA,70.92
2003,2003-12-31,women,Heptathlon,1,gold,athlete,Carolina Klüft,Sweden,SWE,7001 (WL)
2003,2003-12-31,women,Heptathlon,2,silver,athlete,Eunice Barber,France,FRA,6755 (SB)
2003,2003-12-31,women,Heptathlon,3,bronze,athlete,Natallia Sazanovich,Belarus,BLR,6524 (SB)
2003,2003-12-31,women,High jump,1,gold,athlete,Hestrie Cloete,South Africa,ZAF,"2.06 (WL, AR)"
2003,2003-12-31,women,High jump,3,bronze,athlete,Kajsa Bergqvist,Sweden,SWE,2.00
2003,2003-12-31,women,Javelin throw,1,gold,athlete,Mirela Manjani,Greece,GRC,66.52 (WL)
2003,2003-12-31,women,Javelin throw,3,bronze,athlete,Steffi Nerius,Germany,DEU,62.70
2003,2003-12-31,women,Long jump,1,gold,athlete,Eunice Barber,France,FRA,6.99 (SB)
2003,2003-12-31,women,Long jump,3,bronze,athlete,Anju Bobby George,India,IND,6.70 (SB)
2003,2003-12-31,women,Marathon,1,gold,athlete,Catherine Ndereba,Kenya,KEN,2:23:55 (CR)
2003,2003-12-31,women,Marathon,2,silver,athlete,Mizuki Noguchi,Japan,JPN,2:24:14
2003,2003-12-31,women,Marathon,3,bronze,athlete,Masako Chiba,Japan,JPN,2:25:09
2003,2003-12-31,women,Pole vault,2,silver,athlete,Annika Becker,Germany,DEU,4.70 (SB)
2003,2003-12-31,women,Shot put,2,silver,athlete,Nadzeya Astapchuk,Belarus,BLR,20.12 (PB)
