year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,men,swimming,Men's 4 × 100 m Freestyle Relay,1,gold,team,,Australia,AUS,3:14.10 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 100 m Freestyle Relay,2,silver,team,,NED,NED,3:14.56 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 100 m Freestyle Relay,3,bronze,team,,GER,GER,3:17.52,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 100 m medley relay,1,gold,team,,Australia,AUS,3:35.35 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 100 m medley relay,2,silver,team,,GER,GER,3:36.34,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 100 m medley relay,3,bronze,team,,Russian Federation,RUS,3:37.77,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 200 m Freestyle Relay,1,gold,team,,Australia,AUS,7:04.66 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 200 m Freestyle Relay,2,silver,team,,Italy,ITA,7:10.86 ER,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 4 × 200 m Freestyle Relay,3,bronze,team,,United States,USA,7:13.69,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 400 m I.M.,1,gold,athlete,Alessio Boggiatto,Italy,ITA,4:13.15,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 400 m I.M.,2,silver,athlete,Erik Vendt,United States,USA,4:15.36,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 400 m I.M.,3,bronze,athlete,Tom Wilkens,United States,USA,4:15.94,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
