competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-plus-78-kg,Judo Women +78 kg,Heavyweight (+78 kg),women,1,gold,athlete,Yu Song,China,CHN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-plus-78-kg,Judo Women +78 kg,Heavyweight (+78 kg),women,2,silver,athlete,Sarah Asahina,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-plus-78-kg,Judo Women +78 kg,Heavyweight (+78 kg),women,3,bronze,athlete,Iryna Kindzerska,Azerbaijan,AZE,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-plus-78-kg,Judo Women +78 kg,Heavyweight (+78 kg),women,3,bronze,athlete,Kim Min-jeong,"Korea, Republic of",KOR,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,1,gold,athlete,Cho Gu-ham,"Korea, Republic of",KOR,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,2,silver,athlete,Varlam Liparteliani,Georgia,GEO,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,3,bronze,athlete,Lkhagvasürengiin Otgonbaatar,Mongolia,MNG,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,3,bronze,athlete,Niyaz Ilyasov,Russian Federation,RUS,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,1,gold,athlete,Naohisa Takato,Japan,JPN,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,2,silver,athlete,Robert Mshvidobadze,Russian Federation,RUS,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
world_judo_championships,World Judo Championships,2018,2018-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,3,bronze,athlete,Amiran Papinashvili,Georgia,GEO,https://en.wikipedia.org/wiki/2018_World_Judo_Championships
